epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,734.151,0.4509,0.66053,0.29523,1.03695,0.99812,1,0.995,0.97875,0.99812,1,0.995,0.93406,0.30853,0.66855,0.27365,0.78935,0.001406,0.001406,0.001406
32,757.634,0.45535,0.65121,0.2878,1.03188,0.99769,1,0.995,0.97154,0.99769,1,0.995,0.91481,0.32767,0.66344,0.43655,0.78364,0.0013862,0.0013862,0.0013862
33,781.187,0.44674,0.64778,0.29052,1.03516,0.99907,1,0.995,0.94683,0.99907,1,0.995,0.92316,0.32915,0.62409,0.45739,0.78964,0.0013664,0.0013664,0.0013664
34,804.96,0.44226,0.66676,0.28955,1.03333,0.99936,1,0.995,0.96206,0.99936,1,0.995,0.94327,0.33639,0.62623,0.26782,0.82768,0.0013466,0.0013466,0.0013466
35,828.652,0.44476,0.67374,0.28485,1.03964,0.99153,1,0.995,0.91917,0.99153,1,0.995,0.9362,0.42118,0.61225,0.45527,0.91849,0.0013268,0.0013268,0.0013268
36,852.319,0.43108,0.66115,0.28197,1.02402,0.99836,1,0.995,0.95078,0.99836,1,0.995,0.93056,0.33178,0.57398,0.29046,0.78886,0.001307,0.001307,0.001307
37,875.968,0.44662,0.67591,0.28308,1.02663,0.99896,1,0.995,0.95564,0.99896,1,0.995,0.92476,0.35695,0.60603,0.25956,0.81625,0.0012872,0.0012872,0.0012872
38,899.301,0.43989,0.65677,0.28309,1.03014,0.99884,1,0.995,0.95794,0.99884,1,0.995,0.93452,0.37812,0.53916,0.38184,0.84791,0.0012674,0.0012674,0.0012674
39,922.848,0.44104,0.66811,0.28676,1.03112,0.99894,1,0.995,0.94783,0.99894,1,0.995,0.92935,0.39398,0.59052,0.32159,0.82414,0.0012476,0.0012476,0.0012476
40,946.344,0.44157,0.63983,0.27954,1.03039,0.99897,1,0.995,0.95772,0.99897,1,0.995,0.91296,0.34133,0.7053,0.24665,0.79245,0.0012278,0.0012278,0.0012278
41,969.725,0.43492,0.65045,0.27816,1.02226,0.99898,1,0.995,0.94976,0.99898,1,0.995,0.93985,0.3464,0.55238,0.24374,0.81856,0.001208,0.001208,0.001208
42,993.17,0.43803,0.66854,0.27996,1.03443,0.99908,1,0.995,0.9564,0.99908,1,0.995,0.9452,0.32964,0.5798,0.23954,0.77725,0.0011882,0.0011882,0.0011882
43,1016.67,0.43477,0.63099,0.27669,1.02503,0.99863,1,0.995,0.95043,0.99863,1,0.995,0.93084,0.34395,0.59517,0.33667,0.8162,0.0011684,0.0011684,0.0011684
44,1040.15,0.43674,0.62942,0.27675,1.0248,0.99881,1,0.995,0.92947,0.99881,1,0.995,0.93203,0.37102,0.49031,0.31815,0.82859,0.0011486,0.0011486,0.0011486
45,1063.59,0.43177,0.6348,0.27361,1.02433,0.99895,1,0.995,0.95272,0.99895,1,0.995,0.93548,0.35113,0.59159,0.24706,0.82326,0.0011288,0.0011288,0.0011288
46,1087.06,0.42466,0.63354,0.26844,1.01557,0.9976,1,0.995,0.95824,0.9976,1,0.995,0.92899,0.32529,0.60201,0.48907,0.79419,0.001109,0.001109,0.001109
47,1110.36,0.43436,0.64772,0.27425,1.01978,0.999,1,0.995,0.97233,0.999,1,0.995,0.92775,0.30525,0.58932,0.29064,0.76775,0.0010892,0.0010892,0.0010892
48,1133.9,0.42679,0.64756,0.26977,1.02146,0.99889,1,0.995,0.94266,0.99889,1,0.995,0.93265,0.37273,0.59442,0.3301,0.86941,0.0010694,0.0010694,0.0010694
49,1157.53,0.42219,0.64753,0.2631,1.01431,0.99886,1,0.995,0.96035,0.99886,1,0.995,0.92335,0.36665,0.56304,0.36071,0.8077,0.0010496,0.0010496,0.0010496
50,1181.06,0.43347,0.65848,0.27394,1.02533,0.99973,1,0.995,0.96658,0.99973,1,0.995,0.94089,0.28517,0.55862,0.31138,0.7436,0.0010298,0.0010298,0.0010298
51,1204.67,0.42606,0.62615,0.26597,1.01957,0.99877,1,0.995,0.9293,0.99877,1,0.995,0.93486,0.3581,0.57622,0.27404,0.8023,0.00101,0.00101,0.00101
52,1228.3,0.42355,0.64129,0.26603,1.01676,0.99886,1,0.995,0.96074,0.99886,1,0.995,0.94574,0.30324,0.59941,0.24339,0.74541,0.0009902,0.0009902,0.0009902
53,1251.84,0.43024,0.63512,0.26792,1.01868,0.99897,1,0.995,0.94855,0.99897,1,0.995,0.94056,0.36971,0.58798,0.25886,0.80256,0.0009704,0.0009704,0.0009704
